case:concept:name;concept:name;start_timestamp;time:timestamp;org:resource
1;Ingresar datos vehiculo;2012-05-14 09:03:00;2012-05-14 09:03:00;Isabel
1;Revisar amortiguacion y direccion;2012-05-14 09:05:00;2012-05-14 09:07:00;Hugo
1;Revisar gases;2012-05-14 09:05:00;2012-05-14 09:07:00;Hugo
1;Recibir pago cliente;2012-05-14 09:05:00;2012-05-14 09:08:00;Isabel
1;Revisar luces;2012-05-14 09:06:00;2012-05-14 09:08:00;Paco
1;Entregar boleta;2012-05-14 09:08:00;2012-05-14 09:08:00;Isabel
1;Revisar frenos;2012-05-14 09:09:00;2012-05-14 09:15:00;Paco
1;Firmar revision tecnica;2012-05-14 09:17:00;2012-05-14 09:17:00;Alejandro
1;Entregar papeles a cliente;2012-05-14 09:20:00;2012-05-14 09:23:00;Isabel
2;Ingresar datos vehiculo;2012-05-14 09:06:00;2012-05-14 09:06:00;Isabel
2;Revisar amortiguacion y direccion;2012-05-14 09:07:00;2012-05-14 09:09:00;Hugo
2;Revisar gases;2012-05-14 09:07:00;2012-05-14 09:09:00;Juan
2;Revisar luces;2012-05-14 09:08:00;2012-05-14 09:11:00;Paco
2;Recibir pago cliente;2012-05-14 09:08:00;2012-05-14 09:11:00;Isabel
2;Entregar boleta;2012-05-14 09:12:00;2012-05-14 09:12:00;Diego
2;Revisar frenos;2012-05-14 09:13:00;2012-05-14 09:17:00;Juan
2;Imprimir detalle defectos;2012-05-14 09:19:00;2012-05-14 09:19:00;Luis
2;Entregar papeles a cliente;2012-05-14 09:21:00;2012-05-14 09:23:00;Isabel
3;Ingresar datos vehiculo;2012-05-14 09:10:00;2012-05-14 09:10:00;Isabel
3;Revisar gases;2012-05-14 09:12:00;2012-05-14 09:14:00;Juan
3;Revisar luces;2012-05-14 09:12:00;2012-05-14 09:15:00;Paco
3;Recibir pago cliente;2012-05-14 09:12:00;2012-05-14 09:15:00;Isabel
3;Revisar amortiguacion y direccion;2012-05-14 09:13:00;2012-05-14 09:15:00;Juan
3;Entregar boleta;2012-05-14 09:16:00;2012-05-14 09:16:00;Diego
3;Revisar frenos;2012-05-14 09:18:00;2012-05-14 09:24:00;Hugo
3;Firmar revision tecnica;2012-05-14 09:26:00;2012-05-14 09:26:00;Alejandro
3;Entregar papeles a cliente;2012-05-14 09:29:00;2012-05-14 09:32:00;Isabel
4;Ingresar datos vehiculo;2012-05-14 09:13:00;2012-05-14 09:13:00;Isabel
4;Revisar amortiguacion y direccion;2012-05-14 09:14:00;2012-05-14 09:17:00;Paco
4;Revisar gases;2012-05-14 09:15:00;2012-05-14 09:17:00;Luis
4;Revisar luces;2012-05-14 09:15:00;2012-05-14 09:17:00;Hugo
4;Recibir pago cliente;2012-05-14 09:16:00;2012-05-14 09:18:00;Diego
4;Entregar boleta;2012-05-14 09:19:00;2012-05-14 09:19:00;Diego
4;Revisar frenos;2012-05-14 09:21:00;2012-05-14 09:26:00;Luis
4;Firmar revision tecnica;2012-05-14 09:28:00;2012-05-14 09:28:00;Alejandro
4;Entregar papeles a cliente;2012-05-14 09:31:00;2012-05-14 09:34:00;Isabel
5;Ingresar datos vehiculo;2012-05-14 09:17:00;2012-05-14 09:17:00;Diego
5;Revisar gases;2012-05-14 09:18:00;2012-05-14 09:21:00;Hugo
5;Revisar amortiguacion y direccion;2012-05-14 09:19:00;2012-05-14 09:21:00;Paco
5;Revisar luces;2012-05-14 09:19:00;2012-05-14 09:22:00;Paco
5;Recibir pago cliente;2012-05-14 09:20:00;2012-05-14 09:21:00;Diego
5;Entregar boleta;2012-05-14 09:22:00;2012-05-14 09:22:00;Diego
5;Revisar frenos;2012-05-14 09:25:00;2012-05-14 09:30:00;Juan
5;Firmar revision tecnica;2012-05-14 09:32:00;2012-05-14 09:32:00;Alejandro
5;Entregar papeles a cliente;2012-05-14 09:34:00;2012-05-14 09:36:00;Isabel
6;Ingresar datos vehiculo;2012-05-14 09:20:00;2012-05-14 09:20:00;Isabel
6;Revisar gases;2012-05-14 09:21:00;2012-05-14 09:24:00;Paco
6;Revisar luces;2012-05-14 09:23:00;2012-05-14 09:25:00;Luis
6;Revisar amortiguacion y direccion;2012-05-14 09:23:00;2012-05-14 09:25:00;Luis
6;Recibir pago cliente;2012-05-14 09:24:00;2012-05-14 09:26:00;Diego
6;Entregar boleta;2012-05-14 09:26:00;2012-05-14 09:26:00;Isabel
6;Revisar frenos;2012-05-14 09:27:00;2012-05-14 09:32:00;Paco
6;Firmar revision tecnica;2012-05-14 09:34:00;2012-05-14 09:34:00;Alejandro
6;Entregar papeles a cliente;2012-05-14 09:36:00;2012-05-14 09:40:00;Isabel
7;Ingresar datos vehiculo;2012-05-14 09:22:00;2012-05-14 09:22:00;Isabel
7;Revisar gases;2012-05-14 09:23:00;2012-05-14 09:26:00;Hugo
7;Revisar amortiguacion y direccion;2012-05-14 09:23:00;2012-05-14 09:26:00;Paco
7;Revisar luces;2012-05-14 09:24:00;2012-05-14 09:27:00;Luis
7;Recibir pago cliente;2012-05-14 09:25:00;2012-05-14 09:27:00;Isabel
7;Entregar boleta;2012-05-14 09:27:00;2012-05-14 09:27:00;Diego
7;Revisar frenos;2012-05-14 09:30:00;2012-05-14 09:36:00;Juan
7;Firmar revision tecnica;2012-05-14 09:38:00;2012-05-14 09:38:00;Alejandro
7;Entregar papeles a cliente;2012-05-14 09:42:00;2012-05-14 09:46:00;Diego
8;Ingresar datos vehiculo;2012-05-14 09:22:00;2012-05-14 09:22:00;Diego
8;Recibir pago cliente;2012-05-14 09:23:00;2012-05-14 09:25:00;Isabel
8;Revisar gases;2012-05-14 09:23:00;2012-05-14 09:26:00;Juan
8;Revisar luces;2012-05-14 09:24:00;2012-05-14 09:26:00;Paco
8;Revisar amortiguacion y direccion;2012-05-14 09:25:00;2012-05-14 09:27:00;Luis
8;Entregar boleta;2012-05-14 09:25:00;2012-05-14 09:25:00;Isabel
8;Revisar frenos;2012-05-14 09:29:00;2012-05-14 09:35:00;Hugo
8;Imprimir detalle defectos;2012-05-14 09:36:00;2012-05-14 09:36:00;Luis
8;Entregar papeles a cliente;2012-05-14 09:40:00;2012-05-14 09:44:00;Diego
9;Ingresar datos vehiculo;2012-05-14 09:23:00;2012-05-14 09:23:00;Diego
9;Revisar amortiguacion y direccion;2012-05-14 09:24:00;2012-05-14 09:27:00;Juan
9;Revisar gases;2012-05-14 09:25:00;2012-05-14 09:28:00;Paco
9;Recibir pago cliente;2012-05-14 09:26:00;2012-05-14 09:28:00;Isabel
9;Revisar luces;2012-05-14 09:26:00;2012-05-14 09:28:00;Hugo
9;Entregar boleta;2012-05-14 09:29:00;2012-05-14 09:29:00;Isabel
9;Revisar frenos;2012-05-14 09:31:00;2012-05-14 09:37:00;Hugo
9;Firmar revision tecnica;2012-05-14 09:39:00;2012-05-14 09:39:00;Alejandro
9;Entregar papeles a cliente;2012-05-14 09:42:00;2012-05-14 09:44:00;Diego
10;Ingresar datos vehiculo;2012-05-14 09:24:00;2012-05-14 09:24:00;Diego
10;Revisar gases;2012-05-14 09:26:00;2012-05-14 09:28:00;Luis
10;Revisar amortiguacion y direccion;2012-05-14 09:26:00;2012-05-14 09:28:00;Hugo
10;Revisar luces;2012-05-14 09:27:00;2012-05-14 09:29:00;Luis
10;Recibir pago cliente;2012-05-14 09:28:00;2012-05-14 09:30:00;Diego
10;Entregar boleta;2012-05-14 09:30:00;2012-05-14 09:30:00;Isabel
10;Revisar frenos;2012-05-14 09:31:00;2012-05-14 09:36:00;Hugo
10;Firmar revision tecnica;2012-05-14 09:39:00;2012-05-14 09:39:00;Alejandro
10;Entregar papeles a cliente;2012-05-14 09:42:00;2012-05-14 09:45:00;Diego
11;Ingresar datos vehiculo;2012-05-14 09:26:00;2012-05-14 09:26:00;Diego
11;Revisar gases;2012-05-14 09:28:00;2012-05-14 09:30:00;Juan
11;Revisar amortiguacion y direccion;2012-05-14 09:28:00;2012-05-14 09:30:00;Paco
11;Recibir pago cliente;2012-05-14 09:28:00;2012-05-14 09:29:00;Diego
11;Revisar luces;2012-05-14 09:29:00;2012-05-14 09:31:00;Paco
11;Entregar boleta;2012-05-14 09:29:00;2012-05-14 09:29:00;Isabel
11;Revisar frenos;2012-05-14 09:33:00;2012-05-14 09:39:00;Hugo
11;Imprimir detalle defectos;2012-05-14 09:40:00;2012-05-14 09:40:00;Juan
11;Entregar papeles a cliente;2012-05-14 09:43:00;2012-05-14 09:47:00;Diego
12;Ingresar datos vehiculo;2012-05-14 09:26:00;2012-05-14 09:26:00;Diego
12;Revisar gases;2012-05-14 09:27:00;2012-05-14 09:29:00;Hugo
12;Revisar amortiguacion y direccion;2012-05-14 09:28:00;2012-05-14 09:30:00;Paco
12;Revisar luces;2012-05-14 09:28:00;2012-05-14 09:31:00;Luis
12;Recibir pago cliente;2012-05-14 09:28:00;2012-05-14 09:31:00;Diego
12;Entregar boleta;2012-05-14 09:32:00;2012-05-14 09:32:00;Isabel
12;Revisar frenos;2012-05-14 09:35:00;2012-05-14 09:40:00;Luis
12;Firmar revision tecnica;2012-05-14 09:43:00;2012-05-14 09:43:00;Alejandro
12;Entregar papeles a cliente;2012-05-14 09:46:00;2012-05-14 09:47:00;Diego
13;Ingresar datos vehiculo;2012-05-14 09:31:00;2012-05-14 09:31:00;Isabel
13;Revisar gases;2012-05-14 09:32:00;2012-05-14 09:35:00;Hugo
13;Revisar amortiguacion y direccion;2012-05-14 09:32:00;2012-05-14 09:34:00;Hugo
13;Recibir pago cliente;2012-05-14 09:32:00;2012-05-14 09:34:00;Isabel
13;Revisar luces;2012-05-14 09:33:00;2012-05-14 09:35:00;Paco
13;Entregar boleta;2012-05-14 09:35:00;2012-05-14 09:35:00;Isabel
13;Revisar frenos;2012-05-14 09:38:00;2012-05-14 09:44:00;Hugo
13;Firmar revision tecnica;2012-05-14 09:46:00;2012-05-14 09:46:00;Alejandro
13;Entregar papeles a cliente;2012-05-14 09:48:00;2012-05-14 09:52:00;Isabel
14;Ingresar datos vehiculo;2012-05-14 09:34:00;2012-05-14 09:34:00;Isabel
14;Revisar amortiguacion y direccion;2012-05-14 09:35:00;2012-05-14 09:38:00;Paco
14;Revisar gases;2012-05-14 09:36:00;2012-05-14 09:38:00;Juan
14;Recibir pago cliente;2012-05-14 09:36:00;2012-05-14 09:37:00;Diego
14;Revisar luces;2012-05-14 09:36:00;2012-05-14 09:39:00;Juan
14;Entregar boleta;2012-05-14 09:38:00;2012-05-14 09:38:00;Diego
14;Revisar frenos;2012-05-14 09:40:00;2012-05-14 09:44:00;Paco
14;Firmar revision tecnica;2012-05-14 09:47:00;2012-05-14 09:47:00;Alejandro
14;Entregar papeles a cliente;2012-05-14 09:49:00;2012-05-14 09:51:00;Diego
15;Ingresar datos vehiculo;2012-05-14 09:33:00;2012-05-14 09:33:00;Diego
15;Revisar gases;2012-05-14 09:34:00;2012-05-14 09:36:00;Paco
15;Recibir pago cliente;2012-05-14 09:35:00;2012-05-14 09:36:00;Diego
15;Revisar amortiguacion y direccion;2012-05-14 09:35:00;2012-05-14 09:37:00;Juan
15;Revisar luces;2012-05-14 09:35:00;2012-05-14 09:38:00;Juan
15;Entregar boleta;2012-05-14 09:36:00;2012-05-14 09:36:00;Isabel
15;Revisar frenos;2012-05-14 09:41:00;2012-05-14 09:47:00;Luis
15;Firmar revision tecnica;2012-05-14 09:49:00;2012-05-14 09:49:00;Alejandro
15;Entregar papeles a cliente;2012-05-14 09:53:00;2012-05-14 09:57:00;Diego
16;Ingresar datos vehiculo;2012-05-14 09:33:00;2012-05-14 09:33:00;Diego
16;Revisar gases;2012-05-14 09:34:00;2012-05-14 09:37:00;Hugo
16;Revisar amortiguacion y direccion;2012-05-14 09:35:00;2012-05-14 09:38:00;Luis
16;Recibir pago cliente;2012-05-14 09:35:00;2012-05-14 09:38:00;Diego
16;Revisar luces;2012-05-14 09:36:00;2012-05-14 09:39:00;Juan
16;Entregar boleta;2012-05-14 09:39:00;2012-05-14 09:39:00;Diego
16;Revisar frenos;2012-05-14 09:41:00;2012-05-14 09:47:00;Juan
16;Firmar revision tecnica;2012-05-14 09:50:00;2012-05-14 09:50:00;Alejandro
16;Entregar papeles a cliente;2012-05-14 09:53:00;2012-05-14 09:55:00;Isabel
17;Ingresar datos vehiculo;2012-05-14 09:34:00;2012-05-14 09:34:00;Diego
17;Revisar gases;2012-05-14 09:36:00;2012-05-14 09:39:00;Luis
17;Revisar amortiguacion y direccion;2012-05-14 09:37:00;2012-05-14 09:40:00;Luis
17;Revisar luces;2012-05-14 09:37:00;2012-05-14 09:39:00;Juan
